State_ID,State_Name,State_Climate,State_TotalPopulation,State_AgingPopulation
1,Wyoming,Warm humid continental,3869,1099
2,Florida,Cold semi-arid,3912,904
3,Vermont,Humid subtropical,3118,1123
4,New Hampshire,Warm-summer Mediterranean,3112,892
5,Maryland,Hot humid continental,4031,951
6,Texas,Cold semi-arid,3445,1135
7,Hawaii,Warm humid continental,3574,863
8,New York,Cold semi-arid,4022,882
9,South Carolina,Warm-summer Mediterranean,3997,771
10,Pennsylvania,Cold semi-arid,3466,1135
11,New Mexico,Warm humid continental,3159,1094
12,Kansas,Cold semi-arid,3306,786
13,Illinois,Hot humid continental,3623,785
14,Louisiana,Warm-summer Mediterranean,3503,765
15,Utah,Warm-summer Mediterranean,3216,925
16,Maine,Warm-summer Mediterranean,3009,822
17,North Dakota,Hot humid continental,3529,1183
18,Nebraska,Humid subtropical,2866,1122
19,Idaho,Cold semi-arid,2863,1001
20,Montana,Humid subtropical,3622,900
21,Delaware,Humid subtropical,3535,879
22,West Virginia,Humid subtropical,3655,1178
23,Michigan,Warm humid continental,3373,1138
24,Minnesota,Warm-summer Mediterranean,3848,778
25,California,Humid subtropical,3446,837
26,Missouri,Warm humid continental,3244,1134
27,Arkansas,Warm-summer Mediterranean,3022,1074
28,Ohio,Cold semi-arid,3062,1133
29,Washington,Cold semi-arid,3219,1172
30,Tennessee,Humid subtropical,3755,795
31,Alaska,Warm humid continental,3714,1132
32,Iowa,Hot humid continental,2936,913
33,Alabama,Warm-summer Mediterranean,2856,833
34,Mississippi,Cold semi-arid,3728,892
35,Rhode Island,Humid subtropical,3510,932
36,Colorado,Cold semi-arid,3946,1031
37,Wisconsin,Hot humid continental,3865,1169
38,Oklahoma,Hot humid continental,3066,1029
39,Virginia,Warm humid continental,3442,712
40,Georgia,Humid subtropical,3002,731
41,North Carolina,Humid subtropical,2754,1023
42,South Dakota,Hot humid continental,2982,922
43,Oregon,Cold semi-arid,3334,1177
44,Arizona,Warm humid continental,2976,1018
45,Connecticut,Hot humid continental,3576,938
46,New Jersey,Humid subtropical,3670,917
47,Kentucky,Hot humid continental,3190,1128
48,Nevada,Humid subtropical,2819,1030
49,Indiana,Warm humid continental,3026,1125
50,Massachusetts,Warm-summer Mediterranean,3432,752
